==================================================
      EVALUATION SUMMARY (english_pipeline on FUNSD)
==================================================
Images Evaluated:      50
Average CER:           0.5295
Average WER:           0.7395
Average Processing Time: 12.10 seconds/image
==================================================
Detailed Results:
             filename      cer      wer      time
         82092117.png 0.333086 0.484305 13.819489
    82200067_0069.png 0.625150 0.802395 12.407582
    82250337_0338.png 0.430931 0.649533 12.784641
         82251504.png 0.355907 0.576577 15.970332
    82252956_2958.png 0.484258 0.778761 10.987062
    82253058_3059.png 0.417711 0.620321 10.877031
    82253245_3247.png 0.482785 0.658120 17.435721
    82253362_3364.png 0.638158 0.741228 17.713239
         82254765.png 0.584906 0.922414 10.988410
         82491256.png 0.727463 0.901408  9.006690
         82504862.png 0.695946 0.936508 10.208121
         82562350.png 0.639175 0.802083 11.973454
         82573104.png 0.442092 0.874074 11.981878
         82837252.png 0.547504 0.803571 10.491337
         83443897.png 0.480653 0.661538 12.878249
    83553333_3334.png 0.676686 0.877451 13.884403
         83573282.png 0.665903 0.839465 14.924990
         83594639.png 0.649621 0.896552  9.209943
         83624198.png 0.478070 0.678947 14.624717
         83635935.png 0.479567 0.716312 10.468059
    83641919_1921.png 0.635168 0.808612 17.380364
         83772145.png 0.838377 0.936441  5.239324
         83823750.png 0.587824 0.822086  9.468319
         83996357.png 0.551834 0.826531 10.919963
         85201976.png 0.242485 0.337500  9.854406
         85240939.png 0.285714 0.597403 14.482857
         85540866.png 0.542714 1.200000  3.994150
         85629964.png 0.421975 0.861702  8.846749
    86075409_5410.png 0.540166 0.768000 11.542479
    86079776_9777.png 0.624714 0.752381 11.863309
         86220490.png 0.484163 0.613333  6.791181
    86230203_0206.png 0.601737 0.912409 11.066967
    86236474_6476.png 0.239596 0.491525 10.528014
         86244113.png 0.361570 0.400000  9.185137
         86263525.png 0.430631 0.500000  8.930263
    86328049_8050.png 0.705310 0.899497 17.153434
         87086073.png 0.793956 0.875000  2.790222
87093315_87093318.png 0.682218 0.876289 14.387163
         87125460.png 0.292237 0.555556  6.640519
         87137840.png 0.549515 0.763158  6.984737
         87147607.png 0.333594 0.514706 12.881621
         87332450.png 0.522312 0.706250 11.541725
         87428306.png 0.397297 0.534759 13.669317
         87528321.png 0.586235 0.782828 17.271674
         87528380.png 0.768796 0.909976 10.380404
87594142_87594144.png 0.591727 0.791762 20.425151
         89856243.png 0.448738 0.662379 16.933629
91814768_91814769.png 0.571494 0.775281 17.476252
         92380595.png 0.468995 0.644444 16.404934
         93106788.png 0.536224 0.633441 17.213428 


Top 3 ảnh có CER thấp nhất:
85201976.png: CER = 0.242485
86236474_6476.png: CER = 0.239596
85240939.png: CER = 0.285714
Top 3 ảnh có CER cao nhất:
83772145.png: CER = 0.838377
87086073.png: CER = 0.793956
87528380.png: CER = 0.768796







