a1,a2,a3,a4,a5,res
15,71,0.2112676056338028,0.328638497652582,0.20375586854460095,Printed_extended
24,49,0.4897959183673469,0.380952380952381,0.13520408163265304,Printed_extended
22,84,0.2619047619047619,0.25054112554112556,0.15151515151515152,Printed_extended
22,17,1.2941176470588236,0.3449197860962567,0.15775401069518713,Printed_extended
15,119,0.12605042016806722,0.6593837535014005,0.07563025210084033,Printed_extended
17,148,0.11486486486486487,0.24562798092209856,0.18600953895071543,Printed_extended
10,22,0.45454545454545453,0.3227272727272728,0.309090909090909,Printed_extended
21,49,0.42857142857142855,0.25267249757045673,0.151603498542274,Printed_extended
20,80,0.25,0.529375,0.049999999999999996,Printed_extended
17,212,0.08018867924528301,0.2927302996670366,0.14872364039955605,Printed_extended
9,13,0.6923076923076923,0.5726495726495726,0.05982905982905984,Printed_extended
15,340,0.04411764705882353,0.30372549019607836,0.1668627450980392,Printed_extended
13,32,0.40625,0.5745192307692308,0.19471153846153846,Printed_extended
44,73,0.6027397260273972,0.27334993773349936,0.2254047322540473,Printed_extended
17,149,0.11409395973154363,0.23687327279905251,0.1879194630872483,Printed_extended
15,103,0.14563106796116504,0.370873786407767,0.21553398058252424,Printed_extended
22,186,0.11827956989247312,0.25219941348973607,0.13538611925708696,Printed_extended
12,52,0.23076923076923078,0.2708333333333333,0.22275641025641027,Printed_extended
21,177,0.11864406779661017,0.39144471347861176,0.15738498789346247,Printed_extended
15,119,0.12605042016806722,0.3478991596638656,0.23809523809523808,Printed_extended
20,53,0.37735849056603776,0.26320754716981126,0.1575471698113208,Printed_extended
22,52,0.4230769230769231,0.19055944055944057,0.10227272727272728,Printed_extended
8,23,0.34782608695652173,0.5108695652173914,0.02717391304347826,Printed_extended
20,70,0.2857142857142857,0.36714285714285716,0.17428571428571427,Printed_extended
21,128,0.1640625,0.20238095238095238,0.14434523809523808,Printed_extended
22,41,0.5365853658536586,0.2394678492239468,0.139689578713969,Printed_extended
13,32,0.40625,0.25240384615384615,0.31009615384615385,Printed_extended
12,25,0.48,0.21333333333333332,0.2333333333333333,Printed_extended
12,40,0.3,0.25416666666666665,0.22916666666666666,Printed_extended
12,151,0.07947019867549669,0.2146799116997793,0.2477924944812362,Printed_extended
16,102,0.1568627450980392,0.3314950980392157,0.22242647058823528,Printed_extended
18,75,0.24,0.3111111111111111,0.14814814814814814,Printed_extended
22,69,0.3188405797101449,0.2259552042160738,0.13570487483530966,Printed_extended
7,25,0.28,0.20571428571428568,0.24000000000000002,Printed_extended
21,54,0.3888888888888889,0.21693121693121686,0.12610229276895946,Printed_extended
13,50,0.26,0.24769230769230774,0.20769230769230768,Printed_extended
22,46,0.4782608695652174,0.2579051383399209,0.14130434782608695,Printed_extended
24,41,0.5853658536585366,0.3902439024390244,0.1361788617886179,Printed_extended
13,32,0.40625,0.24759615384615385,0.3004807692307692,Printed_extended
16,48,0.3333333333333333,0.27734375,0.1953125,Printed_extended
20,70,0.2857142857142857,0.36642857142857144,0.17428571428571427,Printed_extended
20,62,0.3225806451612903,0.6870967741935485,0.0725806451612903,Printed_extended
